Date,Time,Open,High,Low,Close
2023.01.02,04:00:00,1.07017,1.07017,1.06898,1.06969
2023.01.02,08:00:00,1.06971,1.07005,1.06636,1.06784
2023.01.02,12:00:00,1.06788,1.06898,1.06749,1.06788
2023.01.02,16:00:00,1.06787,1.06819,1.06510,1.06607
2023.01.02,20:00:00,1.06604,1.06727,1.06499,1.06665
2023.01.03,00:00:00,1.06644,1.06830,1.06493,1.06597
2023.01.03,04:00:00,1.06596,1.06802,1.06575,1.06636
2023.01.03,08:00:00,1.06636,1.06676,1.05338,1.05475
2023.01.03,12:00:00,1.05478,1.05699,1.05195,1.05603
2023.01.03,16:00:00,1.05603,1.05973,1.05372,1.05460
2023.01.03,20:00:00,1.05462,1.05688,1.05432,1.05470
2023.01.04,00:00:00,1.05467,1.05691,1.05402,1.05667
2023.01.04,04:00:00,1.05667,1.05783,1.05612,1.05692
2023.01.04,08:00:00,1.05692,1.06353,1.05594,1.06108
2023.01.04,12:00:00,1.06108,1.06243,1.05948,1.06104
2023.01.04,16:00:00,1.06105,1.06285,1.05811,1.06073
2023.01.04,20:00:00,1.06073,1.06128,1.05850,1.06030
2023.01.05,00:00:00,1.06017,1.06315,1.05973,1.06204
2023.01.05,04:00:00,1.06202,1.06202,1.06016,1.06105
2023.01.05,08:00:00,1.06106,1.06290,1.05901,1.06234
2023.01.05,12:00:00,1.06237,1.06259,1.05513,1.05523
2023.01.05,16:00:00,1.05523,1.05675,1.05149,1.05298
2023.01.05,20:00:00,1.05298,1.05432,1.05152,1.05207
2023.01.06,00:00:00,1.05207,1.05326,1.05178,1.05250
2023.01.06,04:00:00,1.05251,1.05362,1.05105,1.05142
2023.01.06,08:00:00,1.05147,1.05309,1.04967,1.05074
2023.01.06,12:00:00,1.05074,1.05449,1.04831,1.05425
2023.01.06,16:00:00,1.05425,1.06381,1.05010,1.06376
2023.01.06,20:00:00,1.06377,1.06480,1.06294,1.06427
2023.01.09,00:00:00,1.06385,1.06719,1.06360,1.06667
2023.01.09,04:00:00,1.06667,1.06830,1.06659,1.06771
2023.01.09,08:00:00,1.06771,1.06996,1.06599,1.06723
2023.01.09,12:00:00,1.06726,1.07318,1.06614,1.07251
2023.01.09,16:00:00,1.07252,1.07606,1.07114,1.07502
2023.01.09,20:00:00,1.07502,1.07541,1.07301,1.07320
2023.01.10,00:00:00,1.07293,1.07397,1.07204,1.07362
2023.01.10,04:00:00,1.07362,1.07440,1.07212,1.07426
2023.01.10,08:00:00,1.07429,1.07517,1.07221,1.07460
2023.01.10,12:00:00,1.07460,1.07460,1.07121,1.07216
2023.01.10,16:00:00,1.07218,1.07592,1.07216,1.07333
2023.01.10,20:00:00,1.07333,1.07440,1.07274,1.07334
2023.01.11,00:00:00,1.07331,1.07451,1.07252,1.07310
2023.01.11,04:00:00,1.07308,1.07567,1.07263,1.07477
2023.01.11,08:00:00,1.07479,1.07574,1.07254,1.07416
2023.01.11,12:00:00,1.07416,1.07554,1.07281,1.07498
2023.01.11,16:00:00,1.07498,1.07764,1.07363,1.07467
2023.01.11,20:00:00,1.07466,1.07671,1.07349,1.07558
2023.01.12,00:00:00,1.07537,1.07746,1.07496,1.07667
2023.01.12,04:00:00,1.07667,1.07751,1.07615,1.07627
2023.01.12,08:00:00,1.07627,1.07734,1.07426,1.07654
2023.01.12,12:00:00,1.07653,1.08385,1.07302,1.08291
2023.01.12,16:00:00,1.08291,1.08489,1.07515,1.08486
2023.01.12,20:00:00,1.08486,1.08669,1.08396,1.08517
2023.01.13,00:00:00,1.08499,1.08678,1.08436,1.08554
2023.01.13,04:00:00,1.08555,1.08563,1.08314,1.08371
2023.01.13,08:00:00,1.08371,1.08644,1.08331,1.08425
2023.01.13,12:00:00,1.08424,1.08517,1.07926,1.07936
2023.01.13,16:00:00,1.07937,1.08387,1.07804,1.08282
2023.01.13,20:00:00,1.08282,1.08357,1.08181,1.08323
2023.01.16,00:00:00,1.08316,1.08720,1.08193,1.08680
2023.01.16,04:00:00,1.08680,1.08742,1.08508,1.08604
2023.01.16,08:00:00,1.08602,1.08605,1.08015,1.08209
2023.01.16,12:00:00,1.08209,1.08366,1.08059,1.08158
2023.01.16,16:00:00,1.08158,1.08292,1.08117,1.08138
2023.01.16,20:00:00,1.08137,1.08247,1.08108,1.08211
2023.01.17,00:00:00,1.08199,1.08337,1.08141,1.08171
2023.01.17,04:00:00,1.08169,1.08327,1.08060,1.08310
2023.01.17,08:00:00,1.08309,1.08387,1.08109,1.08171
2023.01.17,12:00:00,1.08174,1.08580,1.08087,1.08425
2023.01.17,16:00:00,1.08426,1.08693,1.07744,1.07821
2023.01.17,20:00:00,1.07821,1.08037,1.07798,1.07878
2023.01.18,00:00:00,1.07881,1.07963,1.07824,1.07962
2023.01.18,04:00:00,1.07962,1.07993,1.07661,1.07796
2023.01.18,08:00:00,1.07793,1.08714,1.07792,1.08699
2023.01.18,12:00:00,1.08699,1.08700,1.08113,1.08582
2023.01.18,16:00:00,1.08583,1.08873,1.07873,1.07958
2023.01.18,20:00:00,1.07959,1.07990,1.07867,1.07937
2023.01.19,00:00:00,1.07905,1.07982,1.07825,1.07876
2023.01.19,04:00:00,1.07877,1.08056,1.07822,1.07916
2023.01.19,08:00:00,1.07915,1.08292,1.07824,1.08248
2023.01.19,12:00:00,1.08249,1.08381,1.07955,1.08095
2023.01.19,16:00:00,1.08094,1.08252,1.07835,1.08164
2023.01.19,20:00:00,1.08163,1.08400,1.08130,1.08294
2023.01.20,00:00:00,1.08293,1.08438,1.08269,1.08362
2023.01.20,04:00:00,1.08363,1.08440,1.08251,1.08352
2023.01.20,08:00:00,1.08353,1.08590,1.08206,1.08309
2023.01.20,12:00:00,1.08310,1.08473,1.08023,1.08064
2023.01.20,16:00:00,1.08064,1.08477,1.08045,1.08437
2023.01.20,20:00:00,1.08436,1.08585,1.08337,1.08557
2023.01.23,00:00:00,1.08639,1.08996,1.08590,1.08949
2023.01.23,04:00:00,1.08949,1.09030,1.08889,1.08921
2023.01.23,08:00:00,1.08921,1.09267,1.08873,1.09117
2023.01.23,12:00:00,1.09117,1.09152,1.08532,1.08588
2023.01.23,16:00:00,1.08588,1.08759,1.08463,1.08623
2023.01.23,20:00:00,1.08624,1.08731,1.08477,1.08717
2023.01.24,00:00:00,1.08707,1.08826,1.08670,1.08809
2023.01.24,04:00:00,1.08807,1.08830,1.08694,1.08783
2023.01.24,08:00:00,1.08783,1.08979,1.08518,1.08608
2023.01.24,12:00:00,1.08604,1.08807,1.08521,1.08659
2023.01.24,16:00:00,1.08659,1.08870,1.08351,1.08832
2023.01.24,20:00:00,1.08832,1.08890,1.08740,1.08879
2023.01.25,00:00:00,1.08858,1.08942,1.08791,1.08930
2023.01.25,04:00:00,1.08931,1.09028,1.08919,1.08975
2023.01.25,08:00:00,1.08976,1.09112,1.08676,1.08812
2023.01.25,12:00:00,1.08813,1.08848,1.08573,1.08720
2023.01.25,16:00:00,1.08720,1.09235,1.08684,1.08992
2023.01.25,20:00:00,1.08992,1.09183,1.08992,1.09148
2023.01.26,00:00:00,1.09154,1.09246,1.09071,1.09192
2023.01.26,04:00:00,1.09190,1.09217,1.09088,1.09187
2023.01.26,08:00:00,1.09184,1.09293,1.08925,1.08956
2023.01.26,12:00:00,1.08956,1.09084,1.08728,1.09026
2023.01.26,16:00:00,1.09027,1.09176,1.08505,1.08646
2023.01.26,20:00:00,1.08643,1.08946,1.08636,1.08918
2023.01.27,00:00:00,1.08911,1.09003,1.08849,1.08895
2023.01.27,04:00:00,1.08894,1.08900,1.08656,1.08738
2023.01.27,08:00:00,1.08737,1.08923,1.08657,1.08838
2023.01.27,12:00:00,1.08838,1.08953,1.08593,1.08623
2023.01.27,16:00:00,1.08623,1.08790,1.08377,1.08665
2023.01.27,20:00:00,1.08664,1.08730,1.08563,1.08673
2023.01.30,00:00:00,1.08583,1.08753,1.08579,1.08736
2023.01.30,04:00:00,1.08737,1.08793,1.08643,1.08692
2023.01.30,08:00:00,1.08692,1.09040,1.08530,1.09018
2023.01.30,12:00:00,1.09019,1.09137,1.08861,1.08861
2023.01.30,16:00:00,1.08863,1.08996,1.08574,1.08577
2023.01.30,20:00:00,1.08577,1.08606,1.08392,1.08500
2023.01.31,00:00:00,1.08482,1.08601,1.08460,1.08576
2023.01.31,04:00:00,1.08576,1.08590,1.08331,1.08346
2023.01.31,08:00:00,1.08348,1.08497,1.08017,1.08295
2023.01.31,12:00:00,1.08295,1.08633,1.08202,1.08511
2023.01.31,16:00:00,1.08512,1.08677,1.08335,1.08651
2023.01.31,20:00:00,1.08652,1.08749,1.08598,1.08615
2023.02.01,00:00:00,1.08609,1.08654,1.08571,1.08573
2023.02.01,04:00:00,1.08573,1.08748,1.08523,1.08716
2023.02.01,08:00:00,1.08716,1.08885,1.08657,1.08833
2023.02.01,12:00:00,1.08825,1.09099,1.08792,1.09041
2023.02.01,16:00:00,1.09040,1.09247,1.08896,1.09078
2023.02.01,20:00:00,1.09079,1.10013,1.08886,1.09886
2023.02.02,00:00:00,1.09870,1.10329,1.09840,1.10134
2023.02.02,04:00:00,1.10131,1.10255,1.10120,1.10201
2023.02.02,08:00:00,1.10200,1.10217,1.09887,1.09986
2023.02.02,12:00:00,1.09986,1.10042,1.09438,1.09451
2023.02.02,16:00:00,1.09451,1.09664,1.08853,1.09083
2023.02.02,20:00:00,1.09088,1.09228,1.09052,1.09099
2023.02.03,00:00:00,1.09083,1.09115,1.08912,1.08937
2023.02.03,04:00:00,1.08937,1.08984,1.08872,1.08936
2023.02.03,08:00:00,1.08937,1.09309,1.08819,1.09300
2023.02.03,12:00:00,1.09298,1.09402,1.08264,1.08398
2023.02.03,16:00:00,1.08397,1.08761,1.08093,1.08246
2023.02.03,20:00:00,1.08246,1.08248,1.07923,1.07932
2023.02.06,00:00:00,1.07854,1.07978,1.07814,1.07851
2023.02.06,04:00:00,1.07851,1.07989,1.07822,1.07967
2023.02.06,08:00:00,1.07967,1.07979,1.07652,1.07666
2023.02.06,12:00:00,1.07666,1.07832,1.07567,1.07580
2023.02.06,16:00:00,1.07580,1.07661,1.07094,1.07131
2023.02.06,20:00:00,1.07131,1.07372,1.07102,1.07249
2023.02.07,00:00:00,1.07244,1.07425,1.07203,1.07412
2023.02.07,04:00:00,1.07412,1.07427,1.07286,1.07403
2023.02.07,08:00:00,1.07403,1.07437,1.06970,1.07109
2023.02.07,12:00:00,1.07108,1.07226,1.06858,1.06953
2023.02.07,16:00:00,1.06953,1.07663,1.06691,1.07602
2023.02.07,20:00:00,1.07602,1.07627,1.06873,1.07269
2023.02.08,00:00:00,1.07235,1.07350,1.07203,1.07264
2023.02.08,04:00:00,1.07264,1.07348,1.07238,1.07336
2023.02.08,08:00:00,1.07336,1.07608,1.07239,1.07552
2023.02.08,12:00:00,1.07552,1.07557,1.07257,1.07316
2023.02.08,16:00:00,1.07317,1.07433,1.07136,1.07284
2023.02.08,20:00:00,1.07285,1.07391,1.07094,1.07130
2023.02.09,00:00:00,1.07097,1.07260,1.07085,1.07247
2023.02.09,04:00:00,1.07247,1.07382,1.07237,1.07356
2023.02.09,08:00:00,1.07356,1.07689,1.07240,1.07637
2023.02.09,12:00:00,1.07637,1.07901,1.07586,1.07898
2023.02.09,16:00:00,1.07898,1.07907,1.07390,1.07486
2023.02.09,20:00:00,1.07486,1.07487,1.07316,1.07387
2023.02.10,00:00:00,1.07363,1.07420,1.07257,1.07336
2023.02.10,04:00:00,1.07329,1.07343,1.07173,1.07259
2023.02.10,08:00:00,1.07259,1.07528,1.07041,1.07067
2023.02.10,12:00:00,1.07066,1.07113,1.06812,1.06959
2023.02.10,16:00:00,1.06958,1.07068,1.06663,1.06683
2023.02.10,20:00:00,1.06684,1.06807,1.06676,1.06782
2023.02.13,00:00:00,1.06819,1.06819,1.06555,1.06669
2023.02.13,04:00:00,1.06670,1.06710,1.06605,1.06695
2023.02.13,08:00:00,1.06695,1.06898,1.06632,1.06771
2023.02.13,12:00:00,1.06771,1.06965,1.06733,1.06807
2023.02.13,16:00:00,1.06807,1.07274,1.06764,1.07183
2023.02.13,20:00:00,1.07183,1.07299,1.07116,1.07245
2023.02.14,00:00:00,1.07188,1.07368,1.07188,1.07287
2023.02.14,04:00:00,1.07287,1.07399,1.07254,1.07383
2023.02.14,08:00:00,1.07382,1.07669,1.07288,1.07614
2023.02.14,12:00:00,1.07613,1.08044,1.07184,1.07606
2023.02.14,16:00:00,1.07610,1.07719,1.07067,1.07278
2023.02.14,20:00:00,1.07277,1.07454,1.07232,1.07352
2023.02.15,00:00:00,1.07362,1.07445,1.07320,1.07397
2023.02.15,04:00:00,1.07397,1.07399,1.07136,1.07151
2023.02.15,08:00:00,1.07151,1.07298,1.06999,1.07257
2023.02.15,12:00:00,1.07257,1.07330,1.06740,1.06830
2023.02.15,16:00:00,1.06830,1.06891,1.06618,1.06668
2023.02.15,20:00:00,1.06668,1.06915,1.06605,1.06864
2023.02.16,00:00:00,1.06863,1.07080,1.06796,1.07049
2023.02.16,04:00:00,1.07048,1.07149,1.07010,1.07054
2023.02.16,08:00:00,1.07053,1.07224,1.06890,1.07004
2023.02.16,12:00:00,1.07004,1.07127,1.06698,1.06794
2023.02.16,16:00:00,1.06793,1.06960,1.06545,1.06929
2023.02.16,20:00:00,1.06929,1.06975,1.06693,1.06716
2023.02.17,00:00:00,1.06722,1.06742,1.06523,1.06534
2023.02.17,04:00:00,1.06534,1.06557,1.06328,1.06383
2023.02.17,08:00:00,1.06383,1.06612,1.06295,1.06369
2023.02.17,12:00:00,1.06368,1.06446,1.06127,1.06412
2023.02.17,16:00:00,1.06412,1.06938,1.06368,1.06785
2023.02.17,20:00:00,1.06788,1.06984,1.06775,1.06935
2023.02.20,00:00:00,1.06864,1.06932,1.06730,1.06759
2023.02.20,04:00:00,1.06759,1.06934,1.06754,1.06908
2023.02.20,08:00:00,1.06909,1.07046,1.06791,1.06793
2023.02.20,12:00:00,1.06793,1.06922,1.06703,1.06805
2023.02.20,16:00:00,1.06805,1.06938,1.06783,1.06855
2023.02.20,20:00:00,1.06857,1.06874,1.06821,1.06854
2023.02.21,00:00:00,1.06839,1.06885,1.06674,1.06737
2023.02.21,04:00:00,1.06737,1.06752,1.06620,1.06737
2023.02.21,08:00:00,1.06737,1.06881,1.06427,1.06625
2023.02.21,12:00:00,1.06625,1.06695,1.06457,1.06528
2023.02.21,16:00:00,1.06528,1.06982,1.06438,1.06606
2023.02.21,20:00:00,1.06606,1.06613,1.06374,1.06465
2023.02.22,00:00:00,1.06445,1.06640,1.06426,1.06577
2023.02.22,04:00:00,1.06577,1.06626,1.06512,1.06575
2023.02.22,08:00:00,1.06575,1.06635,1.06356,1.06375
2023.02.22,12:00:00,1.06374,1.06505,1.06245,1.06462
